Product,Price(zł),Weight(kg)
apple,10.19,3.33
orange,10.54,11.24
carrot,5.8,15.19
juice,14.81,13.41
chocolate,9.87,6.61
oil,6.87,12.68
cookies,13.34,5.15
flour,2.04,6.98
sugar,11.79,14.92
eggs,15.75,4.36
butter,13.49,15.67
milk,11.38,2.39
cheese,7.89,1.3
rice,11.39,15.93
water,4.96,15.03
chips,4.15,9.79
sausage,8.75,15.4
pear,14.47,12.3
peach,7.76,6.76
lemon,14.93,7.87
grape,1.82,5.34
onion,9.13,6.21
garlic,9.55,3.37
banana,8.78,9.83
cucumber,6.93,9.59
radish,7.59,7.16
tomato,11.84,14.08
chicken,2.47,8.21
potato,7.56,5.21
bread,2.46,13.47
